dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
2,104,338,338,39638,443,6,0,16,0
1,52,338,338,38674,443,6,0,16,0
1,52,338,338,45340,80,6,0,16,0
5,260,338,338,45352,80,6,0,16,0
6,312,338,338,45310,80,6,0,16,0
8,11936,338,338,454,45348,6,0,16,0
7,10444,338,338,404,45346,6,0,16,0
8,11936,338,338,350,45340,6,0,16,0
8,11936,338,338,392,45352,6,0,16,0
4,208,338,338,45350,80,6,0,16,0
16,21108,338,338,247,45310,6,0,24,0
4,208,338,338,51540,443,6,0,16,0
8,11936,338,338,468,45350,6,0,16,0
1,52,338,338,149,39942,6,0,16,0
1,1492,338,338,35,40928,6,0,16,0
1,52,338,338,350,45340,6,0,16,0
1,1492,338,338,109,41176,6,0,16,0
1,52,338,338,44352,443,6,0,16,0
1,52,338,338,81,54726,6,0,16,0
1,52,338,338,58980,443,6,0,16,0
1,52,338,338,40928,443,6,0,16,0
1,1459,338,338,35,40928,6,0,24,0
1,68,65535,338,0,1281,1,192,0,0
1,40,338,338,36274,443,6,0,4,0
1,83,338,338,56590,443,6,0,24,0
1,52,338,338,45352,80,6,0,16,0
2,104,338,338,45348,80,6,0,16,0
4,5968,338,338,468,45350,6,0,16,0
3,4476,338,338,247,45310,6,0,16,0
1,52,338,338,45310,80,6,0,16,0
3,4476,338,338,392,45352,6,0,16,0
2,104,338,338,45350,80,6,0,16,0
2,104,338,338,45346,80,6,0,16,0
10,14920,338,338,404,45346,6,0,16,0
1,1492,338,338,350,45340,6,0,16,0
4,5968,338,338,454,45348,6,0,16,0
1,52,338,338,48950,443,6,0,16,0
1,40,338,338,51732,80,6,0,4,0
1,1492,338,338,309,45592,6,0,16,0
1,52,338,338,45310,80,6,0,16,0
2,104,338,338,45346,80,6,0,16,0
1,692,338,338,404,45346,6,0,24,0
6,8952,338,338,392,45352,6,0,16,0
5,7460,338,338,247,45310,6,0,16,0
3,156,338,338,45348,80,6,0,16,0
2,104,338,338,45592,80,6,0,16,0
8,10777,338,338,454,45348,6,0,24,0
1,65,338,338,36154,53,17,0,0,0
1,52,338,338,45628,80,6,0,16,0
1,1492,338,338,19,45626,6,0,16,0
1,52,338,338,45592,80,6,0,16,0
5,7460,338,338,309,45592,6,0,16,0
9,12468,338,338,350,45340,6,0,24,0
4,5968,338,338,454,45348,6,0,16,0
1,40,338,338,45626,80,6,0,4,0
4,208,338,338,45346,80,6,0,16,0
2,104,338,338,45348,80,6,0,16,0
3,4476,338,338,28,45628,6,0,16,0
3,4476,338,338,404,45346,6,0,16,0
1,1492,338,338,264,45684,6,0,16,0
1,52,338,338,45682,80,6,0,16,0
3,156,338,338,45340,80,6,0,16,0
1,40,338,338,333,41996,6,0,16,0
1,52,338,338,45696,80,6,0,16,0
2,2984,338,338,350,45340,6,0,16,0
3,4476,338,338,404,45346,6,0,16,0
5,7460,338,338,264,45684,6,0,16,0
1,52,338,338,37866,443,6,0,16,0
1,60,338,338,50576,443,6,0,2,0
2,104,338,338,45172,443,6,0,16,0
3,156,338,338,36522,443,6,0,16,0
4,5968,338,338,50,36522,6,0,16,0
1,222,338,338,297,37908,6,0,24,0
5,5971,338,338,463,46006,6,0,24,0
2,135,338,338,46006,443,6,0,24,0
1,91,338,338,37574,443,6,0,24,0
1,1492,338,338,186,44224,6,0,16,0
1,52,338,338,460,44216,6,0,16,0
5,260,338,338,44418,443,6,0,16,0
3,4255,338,338,463,44418,6,0,24,0
2,104,338,338,53342,443,6,0,16,0
1,1470,338,338,147,58386,6,0,16,0
4,1726,338,338,358,53342,6,0,24,0
4,208,338,338,45628,80,6,0,16,0
11,16412,338,338,28,45628,6,0,16,0
7,352,338,338,45684,80,6,0,20,0
2,104,338,338,45704,80,6,0,16,0
6,8952,338,338,402,45696,6,0,16,0
4,5968,338,338,53,45704,6,0,16,0
10,14920,338,338,67,45682,6,0,16,0
6,8952,338,338,161,45702,6,0,16,0
2,2984,338,338,25,45938,6,0,16,0
5,260,338,338,45682,80,6,0,16,0
1,52,338,338,34598,80,6,0,16,0
1,52,338,338,55060,443,6,0,16,0
2,2984,338,338,407,55060,6,0,16,0
1,52,338,338,58300,443,6,0,16,0
1,383,338,338,46006,443,6,0,24,0
1,1470,338,338,463,46006,6,0,16,0
1,52,338,338,35448,443,6,0,16,0
1,52,338,338,45702,80,6,0,16,0
2,104,338,338,45936,80,6,0,16,0
1,1492,338,338,161,45702,6,0,16,0
1,52,338,338,45696,80,6,0,16,0
4,208,338,338,45682,80,6,0,16,0
4,5968,338,338,174,45936,6,0,16,0
1,1492,338,338,25,45938,6,0,16,0
3,156,338,338,45704,80,6,0,16,0
6,9390,338,338,67,45682,6,0,24,0
4,208,338,338,45938,80,6,0,16,0
2,2984,338,338,402,45696,6,0,16,0
3,4476,338,338,53,45704,6,0,16,0
3,4476,338,338,508,45968,6,0,16,0
2,104,338,338,45968,80,6,0,16,0
1,52,338,338,106,35716,6,0,16,0
1,1492,338,338,402,45696,6,0,16,0
1,52,338,338,45968,80,6,0,16,0
3,156,338,338,45682,80,6,0,16,0
3,4476,338,338,74,45970,6,0,16,0
5,248,338,338,45696,80,6,0,21,0
3,4476,338,338,508,45968,6,0,16,0
3,4476,338,338,53,45704,6,0,16,0
3,156,338,338,45970,80,6,0,16,0
3,4476,338,338,25,45938,6,0,16,0
6,7992,338,338,67,45682,6,0,24,0
1,52,338,338,45704,80,6,0,16,0
1,1492,338,338,278,45990,6,0,16,0
3,4476,338,338,438,45988,6,0,16,0
1,1166,338,338,235,51540,6,0,24,0
1,1492,338,338,263,43076,6,0,16,0
1,52,338,338,45970,80,6,0,16,0
1,52,338,338,45704,80,6,0,16,0
2,104,338,338,45682,80,6,0,16,0
2,104,338,338,45988,80,6,0,16,0
2,2984,338,338,67,45682,6,0,16,0
4,5968,338,338,278,45990,6,0,16,0
3,4476,338,338,53,45704,6,0,16,0
1,1492,338,338,28,46016,6,0,16,0
1,52,338,338,45938,80,6,0,16,0
1,52,338,338,46016,80,6,0,16,0
6,8952,338,338,25,45938,6,0,16,0
4,5968,338,338,74,45970,6,0,16,0
5,7460,338,338,438,45988,6,0,16,0
2,2984,338,338,144,46020,6,0,16,0
1,52,338,338,39736,443,6,0,16,0
1,52,338,338,443,39742,6,0,17,0
1,1492,338,338,354,45492,6,0,16,0
4,208,338,338,45504,443,6,0,16,0
3,4476,338,338,60,45504,6,0,16,0
1,52,338,338,39778,443,6,0,16,0
1,875,338,338,12,39778,6,0,24,0
1,1470,338,338,336,60784,6,0,16,0
1,1470,338,338,457,55574,6,0,16,0
4,208,338,338,55574,443,6,0,16,0
1,91,338,338,147,58386,6,0,24,0
1,1492,338,338,175,34862,6,0,16,0
1,40,338,338,41780,443,6,0,16,0
1,52,338,338,54066,443,6,0,16,0
1,433,338,338,42718,80,6,0,24,0
1,52,338,338,34194,443,6,0,16,0
1,52,338,338,34000,443,6,0,16,0
1,178,338,338,48560,443,6,0,24,0
1,1492,338,338,406,57758,6,0,16,0
1,68,338,338,33018,53,17,0,0,0
1,1470,338,338,65,54612,6,0,16,0
1,1470,338,338,197,34194,6,0,24,0
1,60,338,338,43968,443,6,0,2,0
2,2940,338,338,294,59750,6,0,24,0
3,1378,338,338,481,33968,6,0,24,0
1,52,338,338,45970,80,6,0,16,0
4,5968,338,338,25,45938,6,0,16,0
1,68,65535,338,0,1281,1,192,0,0
4,208,338,338,45988,80,6,0,16,0
1,40,338,338,45938,80,6,0,4,0
4,4528,338,338,28,46016,6,0,16,0
1,52,338,338,51540,443,6,0,16,0
5,7460,338,338,438,45988,6,0,16,0
4,208,338,338,46016,80,6,0,16,0
1,52,338,338,46020,80,6,0,16,0
4,5968,338,338,161,46018,6,0,16,0
1,52,338,338,46264,80,6,0,16,0
3,4476,338,338,144,46020,6,0,16,0
3,156,338,338,46018,80,6,0,16,0
1,1492,338,338,158,46262,6,0,16,0
1,71,338,338,44343,53,17,0,0,0
1,52,338,338,42668,80,6,0,16,0
1,1470,338,338,65,54612,6,0,16,0
1,52,338,338,406,57758,6,0,16,0
1,64,338,338,41780,443,6,0,24,0
2,104,338,338,46020,80,6,0,16,0
2,104,338,338,46016,80,6,0,16,0
1,1492,338,338,144,46020,6,0,16,0
5,7460,338,338,28,46016,6,0,16,0
2,104,338,338,46262,80,6,0,16,0
6,8952,338,338,438,45988,6,0,16,0
2,104,338,338,46264,80,6,0,16,0
3,156,338,338,45988,80,6,0,16,0
6,8952,338,338,161,46018,6,0,16,0
1,1492,338,338,261,46264,6,0,16,0
4,5968,338,338,158,46262,6,0,16,0
1,52,338,338,39638,443,6,0,16,0
1,1492,338,338,144,46020,6,0,16,0
3,4476,338,338,161,46018,6,0,16,0
1,52,338,338,46018,80,6,0,16,0
1,52,338,338,45988,80,6,0,16,0
2,104,338,338,46264,80,6,0,16,0
2,104,338,338,46016,80,6,0,16,0
3,4476,338,338,28,46016,6,0,16,0
1,1492,338,338,261,46264,6,0,16,0
5,7460,338,338,158,46262,6,0,16,0
1,52,338,338,46240,80,6,0,16,0
1,1492,338,338,372,46240,6,0,16,0
8,11936,338,338,438,45988,6,0,16,0
3,156,338,338,46020,80,6,0,16,0
1,52,338,338,58730,80,6,0,17,0
1,60,338,338,53985,53,17,0,0,0
1,52,338,338,46020,80,6,0,16,0
1,52,338,338,45988,80,6,0,16,0
5,7460,338,338,438,45988,6,0,16,0
2,104,338,338,46018,80,6,0,16,0
1,52,338,338,46240,80,6,0,16,0
3,4476,338,338,144,46020,6,0,16,0
2,104,338,338,46242,80,6,0,16,0
3,4476,338,338,496,46242,6,0,16,0
6,7512,338,338,161,46018,6,0,16,0
7,10444,338,338,261,46264,6,0,16,0
1,52,338,338,46264,80,6,0,16,0
2,2984,338,338,372,46240,6,0,16,0
2,104,338,338,46324,80,6,0,17,0
1,52,338,338,38498,443,6,0,16,0
1,1492,338,338,25,45802,6,0,16,0
2,104,338,338,34084,443,6,0,16,0
1,1492,338,338,198,38532,6,0,16,0
5,7460,338,338,31,34084,6,0,16,0
2,1522,338,338,82,48692,6,0,16,0
1,60,338,338,443,57314,6,0,18,0
3,3293,338,338,489,60964,6,0,24,0
1,883,338,338,48692,443,6,0,24,0
1,52,338,338,37666,80,6,0,16,0
1,1492,338,338,160,51076,6,0,16,0
1,90,338,338,214,50572,6,0,24,0
1,557,338,338,59574,443,6,0,24,0
1,52,338,338,59182,443,6,0,16,0
1,1492,338,338,410,42062,6,0,16,0
1,1559,338,338,324,53180,6,0,24,0
1,52,338,338,38708,443,6,0,16,0
1,621,338,338,48,50766,6,0,24,0
1,1492,338,338,30,50238,6,0,16,0
1,52,338,338,37634,587,6,0,16,0
1,52,338,338,41108,443,6,0,16,0
1,1492,338,338,160,51076,6,0,16,0
1,52,338,338,80,36164,6,0,17,0
1,52,338,338,42034,443,6,0,16,0
1,1492,338,338,337,40390,6,0,16,0
1,413,338,338,42072,443,6,0,24,0
4,5968,338,338,87,40406,6,0,16,0
1,851,338,338,416,35190,6,0,24,0
3,156,338,338,40406,443,6,0,16,0
1,52,338,338,46806,443,6,0,16,0
2,104,338,338,43574,443,6,0,16,0
3,4410,338,338,171,43574,6,0,24,0
1,52,338,338,54104,443,6,0,16,0
1,60,338,338,59102,53,17,0,0,0
1,52,338,338,35550,443,6,0,16,0
5,6860,338,338,85,42248,6,0,16,0
1,73,338,338,101,57134,6,0,24,0
1,1492,338,338,245,41544,6,0,16,0
1,52,338,338,40,42262,6,0,16,0
2,395,338,338,57134,443,6,0,24,0
2,104,338,338,42254,443,6,0,16,0
5,6860,338,338,394,42254,6,0,16,0
1,40,338,338,41542,443,6,0,16,0
1,1492,338,338,225,41542,6,0,16,0
4,5344,338,338,232,41540,6,0,24,0
6,7689,338,338,470,41546,6,0,24,0
1,754,338,338,307,54390,6,0,24,0
1,1440,338,338,224,50070,6,0,16,0
1,52,338,338,42248,443,6,0,16,0
1,52,338,338,59784,443,6,0,16,0
1,90,338,338,382,43774,6,0,24,0
1,52,338,338,44680,443,6,0,16,0
8,11936,338,338,243,44680,6,0,16,0
1,52,338,338,157,55466,6,0,16,0
1,52,338,338,480,36144,6,0,16,0
1,52,338,338,48574,443,6,0,16,0
1,1470,338,338,347,59306,6,0,16,0
2,104,338,338,59306,443,6,0,16,0
1,52,338,338,40672,443,6,0,16,0
1,52,338,338,54390,80,6,0,16,0
1,222,338,338,56250,443,6,0,24,0
5,260,338,338,46526,443,6,0,16,0
1,52,338,338,56258,443,6,0,16,0
10,13532,338,338,407,46526,6,0,24,0
1,52,338,338,451,57434,6,0,16,0
1,1492,338,338,319,45256,6,0,16,0
2,597,338,338,59898,443,6,0,24,0
1,52,338,338,48802,443,6,0,16,0
1,116,338,338,60220,443,6,0,24,0
2,1522,338,338,30,42502,6,0,16,0
1,1492,338,338,302,37678,6,0,16,0
1,52,338,338,51404,443,6,0,16,0
1,1440,338,338,202,37996,6,0,16,0
1,239,338,338,40200,443,6,0,24,0
1,52,338,338,52710,80,6,0,16,0
1,807,338,338,101,57134,6,0,24,0
1,97,338,338,51676,443,6,0,24,0
1,64,338,338,47499,53,17,0,0,0
1,91,338,338,50190,443,6,0,24,0
1,52,338,338,59880,443,6,0,16,0
1,222,338,338,402,59898,6,0,24,0
6,8952,338,338,432,37836,6,0,16,0
1,185,338,338,459,48025,17,0,0,0
2,104,338,338,37836,443,6,0,16,0
1,1470,338,338,311,49404,6,0,16,0
1,52,338,338,40982,443,6,0,16,0
2,104,338,338,56572,443,6,0,16,0
2,2940,338,338,131,56572,6,0,16,0
1,632,338,338,382,40992,6,0,24,0
1,1492,338,338,200,33968,6,0,16,0
1,52,338,338,33970,80,6,0,16,0
1,52,338,338,163,34736,6,0,16,0
1,1470,338,338,57,49782,6,0,16,0
1,1470,338,338,438,55488,6,0,16,0
1,222,338,338,35212,443,6,0,24,0
1,60,338,338,38478,80,6,0,2,0
2,2645,338,338,87,40994,6,0,24,0
1,40,338,338,50,60984,6,0,16,0
1,685,338,338,190,51516,6,0,24,0
1,52,338,338,42466,80,6,0,16,0
1,52,338,338,40994,443,6,0,16,0
1,40,338,338,51516,443,6,0,17,0
1,52,338,338,443,40746,6,0,17,0
1,60,338,338,49452,53,17,0,0,0
1,126,338,338,229,44608,6,0,24,0
1,52,338,338,56004,443,6,0,16,0
1,52,338,338,42254,443,6,0,16,0
1,52,338,338,50190,443,6,0,16,0
1,52,338,338,409,37442,6,0,16,0
2,210,338,338,42248,443,6,0,24,0
2,1424,338,338,85,42248,6,0,16,0
1,260,338,338,475,48532,17,0,0,0
1,52,338,338,46224,443,6,0,16,0
1,80,65535,338,0,1281,1,192,0,0
1,52,338,338,45618,443,6,0,17,0
1,52,338,338,443,38984,6,0,17,0
1,52,338,338,698,38470,6,0,16,0
1,1492,338,338,137,41050,6,0,16,0
3,156,338,338,38170,443,6,0,16,0
5,7460,338,338,366,38170,6,0,16,0
1,1446,338,338,113,40162,6,0,24,0
1,52,338,338,41090,443,6,0,16,0
1,486,338,338,170,50028,6,0,24,0
1,1372,338,338,394,42254,6,0,16,0
1,52,338,338,110,38716,6,0,16,0
2,1142,338,338,493,33766,6,0,24,0
1,916,338,338,309,43040,6,0,24,0
1,52,338,338,50094,443,6,0,16,0
2,104,338,338,33766,443,6,0,16,0
1,52,338,338,47678,443,6,0,16,0
1,754,338,338,500,44012,6,0,24,0
1,78,338,338,128,39787,17,0,0,0
1,1492,338,338,126,37312,6,0,16,0
1,52,338,338,37328,443,6,0,16,0
1,60,338,338,443,37334,6,0,18,0
1,52,338,338,37334,443,6,0,16,0
1,52,338,338,37342,443,6,0,16,0
1,1492,338,338,8,39202,6,0,16,0
1,60,338,338,443,44400,6,0,18,0
1,52,338,338,60816,443,6,0,16,0
1,60,338,338,443,39346,6,0,18,0
1,60,338,338,60666,443,6,0,2,0
1,91,338,338,41356,443,6,0,24,0
1,52,338,338,37242,443,6,0,16,0
3,156,338,338,42934,443,6,0,16,0
1,1492,338,338,269,42640,6,0,16,0
2,2880,338,338,43,42934,6,0,16,0
1,323,338,338,342,36884,6,0,24,0
1,685,338,338,41360,443,6,0,24,0
1,83,338,338,243,52938,6,0,24,0
1,440,338,338,48730,80,6,0,24,0
1,1472,338,338,257,57658,6,0,16,0
1,580,338,338,22,48422,6,0,24,0
1,52,338,338,38738,443,6,0,16,0
1,1492,338,338,511,42442,6,0,16,0
1,52,338,338,59022,443,6,0,16,0
1,1492,338,338,109,60758,6,0,16,0
1,1492,338,338,264,47320,6,0,16,0
5,7460,338,338,441,46326,6,0,16,0
4,208,338,338,46326,443,6,0,16,0
1,52,338,338,38254,80,6,0,16,0
1,52,338,338,94,42180,6,0,16,0
1,52,338,338,51172,443,6,0,16,0
1,52,338,338,37760,443,6,0,16,0
3,3139,338,338,490,37760,6,0,24,0
1,1044,338,338,132,48854,6,0,24,0
1,52,338,338,511,39254,6,0,16,0
1,60,338,338,43430,443,6,0,2,0
1,381,338,338,43962,443,6,0,24,0
1,52,338,338,50074,443,6,0,16,0
1,1440,338,338,148,47118,6,0,16,0
1,52,338,338,38982,443,6,0,16,0
1,60,338,338,8443,49412,6,0,18,0
1,90,338,338,51,51694,6,0,24,0
1,52,338,338,39202,443,6,0,16,0
1,91,338,338,42970,443,6,0,24,0
1,228,338,338,510,39893,17,0,0,0
1,1492,338,338,45,36132,6,0,16,0
1,52,338,338,36134,443,6,0,17,0
1,80,65535,338,0,1281,1,192,0,0
1,103,338,338,36174,443,6,0,24,0
2,104,338,338,41798,443,6,0,16,0
5,7460,338,338,324,41798,6,0,16,0
1,52,338,338,59858,443,6,0,16,0
1,431,338,338,36594,80,6,0,24,0
1,1470,338,338,441,48200,6,0,16,0
1,1470,338,338,461,54226,6,0,16,0
3,2154,338,338,478,48184,6,0,24,0
1,91,338,338,6,48806,6,0,24,0
1,98,338,338,39216,443,6,0,24,0
2,104,338,338,42934,443,6,0,16,0
1,634,338,338,58708,443,6,0,24,0
1,52,338,338,60656,443,6,0,16,0
3,313,338,338,60654,443,6,0,24,0
2,2984,338,338,40,60654,6,0,16,0
1,892,338,338,363,45706,6,0,24,0
1,52,338,338,441,53218,6,0,16,0
1,1470,338,338,121,42734,6,0,16,0
1,580,338,338,65,60468,6,0,24,0
1,68,65535,338,0,1281,1,192,0,0
1,40,338,338,39884,443,6,0,4,0
2,143,338,338,41360,443,6,0,24,0
1,52,338,338,48926,443,6,0,16,0
1,40,338,338,52864,443,6,0,16,0
1,323,338,338,27,41136,6,0,24,0
1,52,338,338,171,58710,6,0,16,0
1,52,338,338,39484,80,6,0,16,0
1,131,338,338,42442,443,6,0,24,0
1,639,338,338,39746,443,6,0,24,0
1,52,338,338,33676,443,6,0,16,0
1,78,338,338,371,47520,17,0,0,0
1,1492,338,338,68,39746,6,0,16,0
1,52,338,338,39742,443,6,0,16,0
1,1153,338,338,238,53764,6,0,24,0
2,2984,338,338,444,39752,6,0,16,0
1,40,338,338,54514,443,6,0,16,0
1,474,338,338,243,54500,6,0,24,0
1,83,338,338,23,44394,6,0,24,0
1,1492,338,338,270,55842,6,0,16,0
1,132,338,338,60352,443,6,0,24,0
2,104,338,338,47748,443,6,0,16,0
1,1492,338,338,66,38102,6,0,16,0
1,60,338,338,38120,443,6,0,2,0
1,87,338,338,42934,443,6,0,24,0
1,1440,338,338,43,42934,6,0,16,0
1,52,338,338,36880,443,6,0,16,0
1,1492,338,338,342,58964,6,0,16,0
1,40,338,338,36412,443,6,0,16,0
1,52,338,338,47748,443,6,0,16,0
1,52,338,338,38162,443,6,0,16,0
1,83,338,338,39744,443,6,0,24,0
2,1640,338,338,212,41360,6,0,24,0
1,52,338,338,443,43546,6,0,17,0
1,1492,338,338,284,46780,6,0,16,0
1,1492,338,338,428,53464,6,0,16,0
6,8952,338,338,120,46302,6,0,16,0
2,104,338,338,46302,443,6,0,16,0
1,83,338,338,55896,443,6,0,24,0
3,4410,338,338,5,55896,6,0,16,0
1,1470,338,338,458,55914,6,0,16,0
1,222,338,338,37774,443,6,0,24,0
1,222,338,338,43614,443,6,0,24,0
1,52,338,338,38388,443,6,0,16,0
1,920,338,338,194,51140,6,0,24,0
1,52,338,338,38306,443,6,0,16,0
1,52,338,338,182,37242,6,0,16,0
1,79,338,338,243,54500,6,0,24,0
1,91,338,338,41360,443,6,0,24,0
1,65,338,338,53569,53,17,0,0,0
1,52,338,338,38702,443,6,0,16,0
1,83,338,338,38388,443,6,0,24,0
1,52,338,338,379,38702,6,0,16,0
1,52,338,338,36148,443,6,0,16,0
1,52,338,338,52364,80,6,0,16,0
1,52,338,338,39484,80,6,0,16,0
1,68,65535,338,0,1281,1,192,0,0
1,40,338,338,43546,443,6,0,4,0
1,52,338,338,44336,443,6,0,16,0
1,183,338,338,322,60879,17,0,0,0
1,91,338,338,411,59858,6,0,24,0
1,91,338,338,447,51404,6,0,24,0
1,52,338,338,212,41360,6,0,16,0
1,52,338,338,168,40546,6,0,16,0
1,76,338,338,48420,443,6,0,24,0
1,1492,338,338,325,47028,6,0,16,0
1,1492,338,338,175,48214,6,0,16,0
1,52,338,338,48214,443,6,0,16,0
1,52,338,338,48228,443,6,0,16,0
1,75,338,338,369,54539,17,0,0,0
6,8952,338,338,133,48228,6,0,16,0
1,433,338,338,57348,80,6,0,24,0
1,52,338,338,41450,443,6,0,16,0
1,52,338,338,53468,443,6,0,16,0
2,1093,338,338,501,56160,6,0,24,0
3,156,338,338,56160,443,6,0,16,0
1,52,338,338,43038,443,6,0,16,0
1,1492,338,338,32,47146,6,0,16,0
1,52,338,338,53838,443,6,0,16,0
2,2984,338,338,486,53848,6,0,16,0
6,312,338,338,53854,443,6,0,16,0
1,1492,338,338,90,53854,6,0,16,0
1,52,338,338,47188,443,6,0,16,0
1,1470,338,338,450,38802,6,0,16,0
1,632,338,338,139,38660,6,0,24,0
3,234,338,338,38786,443,6,0,24,0
2,1553,338,338,45,38786,6,0,24,0
1,52,338,338,44152,443,6,0,16,0
1,52,338,338,51358,443,6,0,16,0
1,52,338,338,42972,443,6,0,16,0
1,1492,338,338,162,42968,6,0,16,0
1,1492,338,338,33,42970,6,0,16,0
4,5968,338,338,138,42958,6,0,16,0
2,2984,338,338,185,42976,6,0,16,0
3,156,338,338,42974,443,6,0,16,0
7,10444,338,338,3,42974,6,0,16,0
1,52,338,338,36698,443,6,0,16,0
1,52,338,338,37348,443,6,0,16,0
1,1470,338,338,428,56362,6,0,16,0
1,52,338,338,36696,443,6,0,16,0
1,99,338,338,276,60546,6,0,24,0
1,1470,338,338,424,42734,6,0,24,0
1,75,338,338,125,56748,17,0,0,0
1,52,338,338,33892,443,6,0,16,0
1,434,338,338,43208,80,6,0,24,0
1,1470,338,338,323,40090,6,0,16,0
1,52,338,338,56362,443,6,0,16,0
1,1470,338,338,492,33894,6,0,16,0
1,52,338,338,204,58822,6,0,16,0
1,1492,338,338,182,41176,6,0,16,0
1,52,338,338,41184,443,6,0,16,0
1,1492,338,338,273,48482,6,0,16,0
1,52,338,338,51544,443,6,0,16,0
3,156,338,338,39826,443,6,0,16,0
1,276,338,338,60560,443,6,0,24,0
6,8952,338,338,66,39826,6,0,16,0
1,52,338,338,57022,443,6,0,16,0
1,1372,338,338,87,57022,6,0,16,0
1,1492,338,338,144,53868,6,0,16,0
1,52,338,338,35566,443,6,0,16,0
1,40,338,338,34400,443,6,0,16,0
1,1492,338,338,35,47852,6,0,16,0
1,52,338,338,49356,443,6,0,16,0
4,5880,338,338,466,58578,6,0,24,0
1,52,338,338,60048,443,6,0,16,0
1,52,338,338,40054,443,6,0,16,0
1,1440,338,338,23,48192,6,0,16,0
1,52,338,338,126,34240,6,0,16,0
1,1470,338,338,329,51544,6,0,24,0
1,536,338,338,60318,443,6,0,24,0
1,52,338,338,39122,443,6,0,16,0
1,52,338,338,33894,443,6,0,16,0
1,52,338,338,48192,443,6,0,16,0
3,1574,338,338,424,42734,6,0,24,0
1,52,338,338,38820,443,6,0,16,0
1,1372,338,338,469,48306,6,0,16,0
1,1492,338,338,79,48620,6,0,16,0
1,1492,338,338,471,55078,6,0,16,0
4,5968,338,338,413,35134,6,0,16,0
1,569,338,338,60196,443,6,0,24,0
5,260,338,338,35134,443,6,0,16,0
1,1470,338,338,426,35566,6,0,16,0
1,52,338,338,34462,443,6,0,16,0
1,52,338,338,43118,443,6,0,16,0
6,8937,338,338,27,34462,6,0,24,0
2,104,338,338,387,34140,6,0,16,0
1,52,338,338,155,41696,6,0,16,0
1,569,338,338,53772,443,6,0,24,0
